OP,Tiros Generales,Producto,Fecha de despacho
1695,273333,BOLETAS 5 CUERPOS SAN ISIDRO,26/7/2019
1696,80000,BOLETAS 5 CUERPOS RODRIGUEZ,26/7/2019
1697,130000,BOLETAS 5 CUERPOS ZONA 9,
1698,30000,RENGLON 34 PROVINCIA DE BS AS 3° ENTREGA,25/7/2019
1699,54000,BOLETAS 5 CUERPOS ZONA 10,
1700,95000,BOLETAS 5 CUERPOS ZONA 11,
1701,5000,RENGLON 34 PROVINCIA DE BS AS 4° ENTREGA,23/7/2019
1702,29666,BOLETAS 5 CUERPOS ZONA 12,
1703,30000,BOLETAS 5 CUERPOS ZONA 13,25/7/2019
1704,129000,BOLETAS 5 CUERPOS ZONA 14,
1705,145000,BOLETAS 5 CUERPOS ZONA 15,
1706,46333,BOLETAS 5 CUERPOS ZONA 16,
1707,30000,FOLLETOS PAMPA AGOSTO,26/7/2019
1708,45000,Boletas 5 Cuerp Parcial Convinado 1,26/7/2019
1709,95000,Boletas 5 Cuerp Parcial Convinado 2,26/7/2019
1710,50000,TABLOIDE,
1711,6250,RENGLON 34 PROVINCIA DE BS AS 5° ENTREGA,27/7/2019
1712,60000,BOLETAS 5 CUERPOS ZONA 17,25/7/2019
1713,157500,PAPARAZZI N°925,30/7/2019
1714,38000,BILLIKEN N°5142,6/8/2019
1715,5333,BOLETAS 5 CUERPOS ZONA 18,26/7/2019
1716,80000,BOLETAS 5 CUERPOS FINAL ITUZAINGO,26/7/2019
1717,160000,DIARIO CATALEJO JULIO,27/7/2019
1718,65000,BOLETAS 5 CUERPOS CONVINADO 3,28/7/2019
1720,10000,BOLETAS 5 CUERPOS ZONA 19,29/7/2019
1721,15000,BOLETAS 5 CUERPOS ZONA 20,29/7/2019
1722,30000,BOLETAS 5 CUERPOS SAN ISIDRO,30/7/2019
1724,70000,BOLETAS 5 CUERPOS MORENO,31/7/2019
1725,30175,LIBRO LA MAQUINA DEL TIEMPO REIMPRESION,1/8/2019
1726,70000,BOLETAS 5 CUERPOS ITUIZANGO,1/8/2019
1727,12500,RENGLON 34 PROVINCIA DE BS AS 6º ENTREGA REIMPRESION,2/8/2019
1728,5000,RENGLON 34 PROVINCIA DE BS AS 7º ENTREGA,1/8/2019
1729,10000,BOLETAS 5 CUERPOS ZONA 21 + 1 BOLETA ESCOBAR,2/8/2019
1730,30000,BOLETAS 5 CUERPOS ZONA 22 + 1 BOLETA ESCOBAR,2/8/2019
1731,157500,PAPARAZZI 926,2/8/2019
1732,13333,BOLETAS 5 CUERPOS CHOFFI ESCOBAR,3/8/2019
1733,240000,DIARIO ACCION MUNICIPAL AGOSTO,3/8/2019
1734,3000,BOLETAS 5 CUERPOS ZONA 23,7/8/2019
1742,2000,PARA TEENS REVIPOSTER N8,7/8/2019
1743,157500,PAPARAZZI 927,8/8/2019
1744,16666,CARTON PARA BOLSAS,13/8/2019
1746,2500,AFICHE FESTIVAL MADYGRAF,9/8/2019
1747,42500,PAPARAZZI 928,16/8/2019
1749,27500,RENGLON 34 PROVINCIA DE BS AS 11 ENTREGA,22/8/2019
1750,2500,RENGLON 34 PROVINCIA DE BS AS 12 ENRTEGA,22/8/2019
1751,42500,PAPARAZZI 929,23/8/2019
1752,0,REVISTA GUIA DOCENTE,26/8/2019
1753,75000,DIARIO ATE SEPTIEMBRE,27/8/2019
1755,5000,RENGLON 34 PROVINCIA DE BS AS 13 ENTREGA,29/8/2019
1756,68000,PAPARAZZI 930,30/8/2019
1757,13333,CARTON PARA BOLSAS,1/9/2019
1758,2500,AFICHE FESTIVAL MADYGRAF,2/9/2019
1759,0,REVISTA RSO,2/9/2019
1760,2500,HOJA DE PISO CCK,5/9/2019
1761,68000,REVISTA PAPARAZZI 931,5/9/2019
1763,2000,PARA TEENS REVIPOSTER 9,6/9/2019
1764,5000,RENGLON 34 PROVINCIA DE BS AS 14 ENTREGA,6/9/2019
1765,94424,BOLETAS MENDOZA ZONA 1,10/9/2019
1766,105096,BOLETAS MENDOZA ZONA 2,10/9/2019
1767,44601,BOLETAS MENDOZA ZONA 3,10/9/2019
1768,11704,BOLETAS MENDOZA ZONA 4,10/9/2019
1769,15048,BOLETAS MENDOZA ZONA 5,10/9/2019
1770,78750,PAPARAZZI N°933,24/9/2019
1771,120000,"FOLLETO OCTUBRE
",30/9/2019
1772,147000,PAPARAZZI N°934,1/10/2019
1773,54000,BILLIKEN N°5143,21/10/2019
1774,120000,FOLLETOS INTERPRINT,21/10/2019
1775,72250,PAPARAZZI N°932,17/9/2019
1777,119000,PAPARAZZI N°934,1/10/2019
1778,60000,DIARIO ACCION MUNICIPAL Octubre,4/10/2019
1780,,BOLETAS SANTA FE,
1781,83333,BOLETAS MENDOZA,
1782,38888,BOLETAS JUJUY,
1783,5000,RENGLON 34 PROVINCIA DE BS AS 18° ENTREGA,5/10/2019
1784,333333,BOLETAS 5 CUERPOS MALVINAS ARGENTINA,8/10/2019
1785,333333,BOLETAS 5 CUERPOS ESCOBAR,
1786,15000,BOLETAS 5 CUERPOS NAVARRO,
1787,186666,BOLETAS 5 CUERPOS ITUZAIGO,11/10/2019
1788,119000,PAPARAZZI N°935,8/10/2019
1789,33000,BOLETAS SEPTIMA SECCION - ZONA 1,
1789,33000,BOLETAS SEPTIMA SECCION - ZONA 1,
1790,22300,BOLETAS SEPTIMA SECCION - ZONA 2,
1791,9900,BOLETAS CUARTA SECCION - ZONA 3,
1792,59300,BOLETAS CUARTA SECCION - ZONA 4,
1793,10200,BOLETAS PRIMERA SECCION - ZONA 5,
1794,63300,BOLETAS PRIMERA SECCION - ZONA 6,
1795,45500,BOLETAS PRIMERA SECCION - ZONA 7,
1796,97800,BOLETAS PRIMERA SECCION - ZONA 8,
1797,137200,BOLETAS PRIMERA SECCION - ZONA 9,
1798,149300,BOLETAS PRIMERA SECCION - ZONA 10,
1799,179200,BOLETAS PRIMERA SECCION - ZONA 11,
1800,216200,BOLETAS PRIMERA SECCION - ZONA 12,
1801,50000,VOLANTE A5,8/10/2019
1802,2500,AFICHE LAS MANOS DE FILIPPI FESTIVAL MADYGRAF,8/10/2019
1803,266666,BOLETAS 5 CUERPOS SAN ISIDRO,11/10/2019
1804,84700,"BOLETAS COMUNA 1,4,8 PTS",
1805,52850,"BOLETAS COMUNA 2,5 PTS",
1806,77200,"BOLETAS COMUNA 3,6,7 PTS",
1807,119000,PAPARAZZI N°936,15/10/2019
1808,100000,BOLETAS VICENTE LOPEZ,14/10/2019
1809,186666,BOLETAS BERAZATEGUI,14/10/2019
1810,30000,BOLETAS 1ra SECCION TODOS,14/10/2019
1811,40000,BOLETAS 5 CASTELLI,15/10/2019
1812,3000,AFICHE FESTIVAL DAMAS GRATIS,
1816,45833,VOLANTE A5 PCIA DE BS AS 2,8/10/2019
1816,119000,PAPARAZZI N°937,22/10/2019
1818,29000,"BOLETAS SOBRE TIRAJE COMUNA 1,4,5 PTS",
1819,33000,"BOLETAS SOBRE TIRAJE COMUNA 6,7,8 PTS",
1820,4000,BOLETAS SOBRE TIRAJE COMUNA 3,
1821,2000,PARA TEENS REVIPOSTER N° 10,
1822,13333,BOLETAS FRENTE DE TODOS,23/10/2019
1823,114750,PAPARAZZI N°938,29/10/2019
1824,4666,BOLETAS CAMBIEMOS 1 CUERPO,24/10/2019
1825,120000,FOLLETO NOVIEMBRE,5/11/2019
1826,114750,PAPARAZZI N°939,5/11/2019
1828,8333,CARTON PARA BOLSAS,4/11/2019
1829,75000,DIARIO ATE NOVIEMBRE,13/11/2019
1830,8333,VOLANTE PTS CHILE,7/11/2019
1831,30000,FOLLETOS FAVA DICIEMBRE,25/11/2019
1832,113900,PAPARAZZI N°940,12/11/2019
1833,113900,PAPARAZZI N°941,19/11/2019
1834,15000,FOLLETOS PAMPA DICIEMBRE,29/11/2019
1835,113900,PAPARAZZI N°942,26/11/2019
1836,50000,FOLLETO 8 PAG,26/11/2019
1837,113900,PAPARAZZI N°943,3/12/2019
1840,42833,FOLLETO VOLANTE,7/11/2019
1841,30000,FOLLETOS FAVA ENERO,27/12/2019
1842,113900,PAPARAZZI N°944,10/12/2019
1843,150000,FOLLETO PAPA NOEL,10/12/2019
