OP,Tiros Generales,Producto,Fecha de despacho
785,385305,GENTE 2688,19/01/2019
786,537625,PAPARAZZI 794,19/01/2017
787,202500,PARA TI 4932,20/01/2017
788,250000,REVISTA PROTO 1069,20/01/2017
789,389325,COSMOPOLITAN 246 FEBRERO,23/01/2017
790,96225,VANIDADES 57-02,23/01/2017
791,312485,GENTE 2689,26/01/2017
792,187500,PARATI 4933,30/01/2017
793,537625,PAPARAZZI 795,30/01/2017
794,100000,DIARIO MALVINAS ARGENTINAS,30/01/2017
795,573500,GENTE 2690,2/02/2017
796,187500,PARA TI 4934,3/02/2017
797,520375,PAPARAZZI 796,3/02/2017
798,606200,PARA TI DECO 155,8/02/2017
799,470125,GENTE 2691,9/02/2017
800,138750,LA VALIJITA 161,10/02/2017
801,500250,PAPARAZZI 797,10/02/2017
802,187500,PARA TI 4935,10/02/2017
803,395250,GENTE 2692,16/02/2017
804,87975,VANIDADES 57-03,16/02/2017
805,483000,PAPARAZZI 798,17/02/2017
806,187500,PARA TI 4936,17/02/2017
807,338575,COSMOPOLITAN 247 FEBRERO,22/02/2017
808,260000,FOLLETOS FAVA MARZO,24/02/2017
809,185000,FOLLETOS PEROZZI MARZO,21/02/2017
810,379750,GENTE 2693,23/02/2017
811,168750,PARA TI 4937,23/02/2017
812,468625,PAPARAZZI 799,23/02/2017
813,160000,FOLLETOS ALOISE MARZO,24/02/2017
814,12000,DIARIO DE IZQUIERDA 648,1/03/2017
815,379750,GENTE 2694,2/03/2017
816,5000,PAN Y ROSAS,6/03/2017
817,460000,PAPARAZZI 800,6/03/2017
818,180000,PARA TI 4938,6/03/2017
819,182280,EL AJUAR DEL BEBE 35,9/03/2017
820,453250,GENTE 2695,9/03/2017
821,1500,PARA TI 4939,17/03/2017
821,377000,PARA TI 4939,9/03/2017
822,370000,PARA TI POCKET 32 ANTICIPO COLECCIONES,9/03/2017
823,460000,PAPARAZZI 801,10/03/2017
824,17000,DIARIO DE IZQUIERDA 649,14/03/2017
825,192000,TEJIDO DOS AGUJAS 70,14/03/2017
826,135000,LA VALIJITA 162,15/03/2017
827,393000,GENTE 2696,16/03/2017
828,176250,PARA TI 4940,16/03/2017
829,454250,PAPARAZZI 802,16/03/2017
830,260000,FOLLETOS FAVA ABRIL,17/03/2017
831,334800,COSMOPOLITAN 834 FEBRERO,22/03/2017
832,87975,VANIDADES 57-04,22/03/2017
832,100000,DIARIO MALVINAS ARGENTINAS,21/03/2017
833,300000,DIARIO ESCOBAR,22/03/2017
834,368000,GENTE 2697,24/03/2017
835,454250,PAPARAZZI 803,23/03/2017
836,176250,PARA TI 4941,23/03/2017
837,377000,PARA TI 4942,28/03/2017
838,17500,MUNICIPIO CAMPANA,28/03/2017
839,414000,GENTE 2698,31/03/2017
839,160000,FOLLETOS ALOISE ABRIL,28/03/2017
840,36000,LA VALIJITA ESPECIAL 84,30/03/2017
840,185000,FOLLETOS PEROZZI ABRIL,28/03/2017
841,174000,GUIA DE PUNTOS CROCHET 24,30/03/2017
841,16000,DIARIO DE IZQUIERDA 650,30/03/2017
845,454250,PAPARAZZI 804,3/04/2017
846,30000,SUPLEMENTO TABLOIDE,4/04/2017
847,368000,GENTE 2699,5/04/2017
848,277500,LIBRO DE ORO TEJIDO 18,3/04/2017
849,454250,PAPARAZZI 805,7/04/2017
850,176250,PARA TI 4943,7/04/2017
851,595000,PARA TI DECO 156,10/04/2017
852,135000,LA VALIJITA 163,20/04/2017
853,368000,GENTE 2700,12/04/2017
854,451375,PAPARAZZI 806,12/04/2017
855,176250,PARA TI 4944,12/04/2017
856,185000,FOLLETOS PEROZZI MAYO,18/04/2017
857,160000,FOLLATOS ALOISE MAYO,18/04/2017
858,260000,FOLLETOS FAVA MAYO,18/04/2017
859,213950,MUY INTERESANTE 379,20/04/2017
860,210000,REVISTA WORLDCOLOR,28/04/2017
861,200000,FOLLETOS CASA SILVIA,20/04/2017
862,12000,DIARIO DE IZQUIERDA 651,20/04/2017
863,384000,GENTE 2701,21/04/2017
864,168750,PARA TI 4945,20/04/2017
865,451375,PAPARAZZI 807,20/04/2017
866,91725,VANIDADES 57-05,20/04/2017
867,312337,COSMOPOLITAN 249 MAYO,24/04/2017
868,40250,TEJIDOS EXPRESS 71,26/04/2017
869,346400,GENTE 2702,2/05/2017
870,146250,PARA TI 4946,2/05/2017
871,451375,PAPARAZZI 808,3/05/2017
872,15000,DIARIO DE IZQUIERDA 652,4/05/2017
873,402500,GENTE 2703,4/05/2017
874,225000,PARA TI 4947,5/05/2017
875,39600,LA VALIJITA ESPECIAL 85,4/05/2017
876,200000,FOLLETOS AUTHOGAR JUNIO,23/05/2017
877,200000,FOLLETOS CASA SILVIA JUNIO,22/05/2017
878,451375,PAPARAZZI 809,8/05/2017
879,222000,TEJIDOS CROCHET 24,8/05/2017
880,363000,GENTE 2704,11/05/2017
881,168750,PARA TI 4948,12/05/2017
882,439875,PAPARAZZI 810,15/05/2017
883,90000,LA VALIJITA 164,30/05/2017
884,375000,FOLLETOS FAVA JUNIO,17/05/2017
885,13000,DIARIO DE IZQUIERDA 653,18/05/2017
886,429100,GENTE 2705,18/05/2017
887,208450,MUY INTERESANTE 380,18/05/2017
888,21250,CUADERNOS MADYGRAF,19/05/2017
889,185000,FOLLETOS PEROZZI JUNIO,23/05/2017
890,240000,FOLLETOS ALOISE JUNIO,23/05/2017
891,165000,PARA TI 4949,19/05/2017
892,428375,PAPARAZZI 811,23/05/2017
893,317982,COSMOPOLITAN 250 JUNIO,25/05/2017
894,98400,VANIDADES 57-06,29/05/2017
895,210000,DECOPLUS 15,24/05/2017
896,363000,GENTE 2706,24/05/2017
897,428375,PAPARAZZI 812,24/05/2017
898,165000,PARA TI 4950,24/05/2017
899,5000,IGLESIA INIVERSAL - PRUEBA DE PRODUCTO,31/05/2017
900,12000,DIARIO DE IZQUIERDA 654,31/05/2017
901,400000,DIARIO ACCION MUNICIPAL,2/06/2017
902,240000,DIARIO CATALEJO,31/05/2017
903,371157,GENTE 2707,1/06/2017
904,161250,PARA TI 4951,6/06/2017
905,425500,PAPARAZZI 813,2/06/2017
906,18750,VOLANTE PTS,2/06/2017
907,39600,LA VALIJITA ESPECIAL86,5/06/2017
908,40250,TEJIDOS EXPRESS 72,5/06/2017
909,407000,GENTE 2708,8/06/2017
910,161250,PARA TI 4952,12/06/2017
911,419750,PAPARAZZI 814,12/06/2017
912,89250,LA VALIJITA 165,15/06/2017
913,180000,TEJIDOS PARA TODA LA FAMILIA 73,13/06/2017
914,567000,PARA TI DECO 157,13/06/2017
915,25000,VOLANTE PTS,15/06/2017
916,160000,FOLLETOS AUTHOGAR JULIO,16/06/2017
917,300000,FOLLETOS FAVA JULIO,19/06/2017
918,210000,FOLLETOS CASA SILVIA JULIO,16/06/2017
919,11000,DIARIO DE IZQUIERDA 655,15/06/2017
920,424125,GENTE 2709,15/06/2017
921,411125,PAPARAZZI 815,15/06/2017
922,150000,PARA TI 4953,15/07/2017
923,185000,FOLLETOS PEROZZI JULIO,19/07/2017
924,240000,FOLLETOS ALOISE JULIO,19/06/2017
925,202950,MUY INTERESANTE 381,21/06/2017
926,371875,GENTE 2710,23/06/2017
927,411125,PAPARAZZI 816,22/06/2017
928,150000,PARA TI 4954,23/06/2017
929,98400,VANIDADES 57-07,23/06/2017
930,313200,COSMOPOLITAN 251 JULIO,26/06/2017
931,18750,VOLANTES PTS,27/06/2017
932,37500,VOLANTES PTS,27/06/2017
933,75000,VOLANTES PTS,27/06/2017
934,11000,DIARIO DE IZQUIERDA 656,30/06/2017
935,414375,GENTE 2711,29/06/2017
936,150000,PARA TI 4955,30/06/2017
937,65000,GUIA DE PUNTOS DOS AGUJAS 18,30/06/2017
938,396570,PAPARAZZI 817,30/06/2017
939,60000,DIARIO ATE,7/07/2017
940,350625,GENTE 2712,6/07/2017
941,150000,PARA TI 4956,6/07/2017
942,396570,PAPARAZZI 818,6/07/2017
943,44000,LA VALIJITA ESPECIAL 87,11/07/2017
944,100000,DIARIO MALVINAS ARGENTINAS JULIO,6/07/2017
945,240000,DIARIO ACCION MUNICIPAL JULIO,12/07/2017
946,37500,VOLANTES AS PTS,12/07/2017
947,82500,LA VALIJITA 166,12/07/2017
948,535000,BOLETAS - MENDOZA 1,13/07/2017
949,345000,BOLETAS - MENDOZA 2,15/07/2017
950,48000,BOLETAS - MENDOZA 3,13/07/2017
951,66000,BOLETAS - MENDOZA 4,13/07/2017
952,329375,GENTE 2713,13/07/2017
953,168000,PARA TI 4957,18/07/2017
954,396750,PAPARAZZI 819,13/07/2017
955,150000,BOLETAS - MISIONES,15/07/2017
956,150000,BOLETAS - CAPITAL,15/07/2017
957,375000,FOLLETOS FAVA AGOSTO,18/07/2017
958,787500,REVISTA 600 DIAS DE GESTION,17/07/2017
959,12000,DIARIO DE IZQUIERDA 657,18/07/2017
960,329375,GENTE 2714,20/07/2017
961,396750,PAPARAZZI 820,20/07/2017
963,140000,BOLETAS - BERAZATEGUI,24/07/2017
964,194315,MUY IBNTERESANTE 382,24/07/2017
965,185000,FOLLETOS PEROZZI AGOSTO,25/07/2017
966,270000,FOLLETOS ALOISE AGOSTO,25/07/2017
967,180000,FOLLETOS AUTHOGAR AGOSTO,25/07/2017
968,210000,FOLLETOS CASA SILVIA AGOSTO,25/07/2017
983,20000,CARPETAS,28/07/2017
984,618900,BOLETAS - FIT - ZONA 1,26/07/2017
985,388800,BOLETAS - FIT - ZONA 2,26/07/2017
986,1033600,BOLETAS - FIT - ZONA 3,26/07/2017
987,438600,BOLETAS - FIT - ZONA 4,26/07/2017
988,705600,BOLETAS - FIT - ZONA 5,26/07/2017
989,100300,BOLETAS - FIT - ZONA 6,26/07/2017
990,569200,BOLETAS - FIT - ZONA 7,26/07/2017
991,72400,BOLETAS - FIT - ZONA 8,26/07/2017
992,72400,BOLETAS - FIT - ZONA 9,26/07/2017
993,125100,BOLETAS - FIT - ZONA 10,26/07/2017
994,95400,BOLETAS - FIT - ZONA 11,26/07/2017
995,82800,BOLETAS - FIT - ZONA 12,26/07/2017
996,69300,BOLETAS - FIT - ZONA 13,26/07/2017
997,22800,BOLETAS - FIT - FINAL ZONA 14,26/07/2017
998,9200,BOLETAS - FIT - FINAL 3 CUERPOS ZONA 15,26/07/2017
999,329375,GENTE 2715,27/07/2017
1000,396750,PAPARAZZI 821,27/07/2017
1001,165000,PARA TI 4959,31/07/2017
1002,265360,COSMOPOLITAN 252,27/07/2017
1003,108800,VANIDADES N 57-08,27/07/2017
1004,40000,BOLETAS - 1RA DE HURLINGHAN 2 A,28/07/2017
1005,25000,VOLANTES A4,28/07/2017
1006,40000,BOLETAS - 1RA VICENTE LOPEZ,28/07/2017
1007,40000,BOLETAS - UN PAIS,28/07/2017
1009,160800,BOLETAS - FIT - CAMBIO DE PAPEL ZONA 2 FINAL,31/07/2017
1010,40200,BOLETAS - FIT - CAMBIO DE PAPEL ZONA 2 TIGRE FINAL,31/07/2017
1011,240000,DIARIO CATALEJO AGOSTO,1/08/2017
1012,360000,BOLETAS - FIT - 1RA SECCION,2/08/2017
1013,259200,BOLETAS - FIT - 2DA SECCION,2/08/2017
1014,176400,BOLETAS - FIT - 3RA SECCION,2/08/2017
1015,258400,BOLETAS - FIT - 4TA SECCION,2/08/2017
1016,64600,BOLETAS - FIT - 5TA SECCION,2/08/2017
1017,112400,BOLETAS - FIT - 6TA SECCION,3/08/2017
1018,73100,BOLETAS - FIT - 7MA SECCION,3/08/2017
1019,2000,REIMPRESION TAPA REVISTA 6000 DIAS DE GESTION,3/08/2017
1020,329375,GENTE 2716,3/08/2017
1021,393875,PAPARAZZI 822,3/08/2017
1022,150000,PARA TI 4960,3/08/2017
1023,40250,TEJIDOS EXPRESS 74,4/08/2017
1024,60000,DIARIO ATE,9/08/2017
1025,24000,BOLETAS - VICENTE LOPEZ CAMBIEMOS,9/08/2017
1026,32000,BOLETAS - FIT - REIMPRESION ZONA 9,9/08/2017
1027,240000,DARIO ACCION MUNICIPAL,10/08/2017
1028,330000,GENTE 2717,10/08/2017
1029,304500,PARA TI 4961,10/09/2017
1030,393875,PAPARAZZI 823,10/08/2017
1031,295000,PARA TI POCKET 34,11/08/2017
