hora,Tension de Linea L1,Corriente L1,Potencia Activa L1,Potencia Reactiva L1,Factor de Potencia L1,Tension de Linea L2,Corriente L2,Potencia Activa L2,Potencia Reactiva L2,Factor de Potencia L2,Tension de Linea L3,Corriente L3,Potencia Activa L3,Potencia Reactiva L3,Factor de Potencia L3,Potencia Activa III,Potencia Inductiva III,Potencia Capacitiva III,Coseno Fi,Tension entre Lineas L1 y L2,Tension entre Lineas L2 y L3,Tension entre Lineas L3 y L1,Potencia Aparente III,Demanda Maxima,Corriente de las Tres Fases,Corriente de Neutro,Demanda Maxima A2,Demanda Maxima A3,Energia Activa,Energia Reactiva Inductiva,Energia Reactiva Capacitiva
Tue Mar 24 04:31:20 2020,7794.514285714286,3259.1428571428573,21442.809523809523,4294956385.2380953,42949672.1052381,7776.4571428571435,3999.1428571428573,27115.904761904763,4294955070.047619,42949672.08000001,7729.028571428572,3915.714285714286,23775.380952380954,4294951412.5238094,42949672.16999998,72319.80952380953,0.0,39067.666666666664,42949672.08523811,13502.400000000001,13389.82857142857,13428.57142857143,71745.28571428571,0.0,3722.285714285714,0.0,0.0,0.0,102283347.52380952,583539362.0,986287022.8571428
Tue Mar 24 04:32:18 2020,7793.747368421054,3251.3684210526317,21472.105263157893,4294956575.4736843,42949672.1031579,7776.757894736843,4012.4210526315787,27162.0,4294954876.1578946,42949672.08421054,7729.831578947366,3890.2105263157896,23475.052631578947,4294951356.631579,42949672.174736835,72083.05263157895,0.0,39132.15789473684,42949672.08842107,13501.894736842105,13393.389473684212,13427.24210526316,74409.47368421052,0.0,3717.5789473684213,0.0,0.0,0.0,102284548.31578948,583539362.0,986287677.6315789
Tue Mar 24 04:33:18 2020,7793.460000000001,3261.6,21521.35,4294956480.55,42949672.10500001,7777.860000000001,3986.7,26712.8,4294954592.75,42949672.09200002,7730.040000000001,3831.0,23081.3,4294951661.7,42949672.17399998,71265.75,0.0,39068.5,42949672.08650002,13502.4,13393.74,13427.639999999996,72625.45,0.0,3688.0,0.0,0.0,0.0,102285732.4,583539362.0,986288313.25
Tue Mar 24 04:34:18 2020,7791.720000000001,3242.4,21272.95,4294956361.4,42949672.11100001,7776.18,3939.3,26206.15,4294954468.6,42949672.10100001,7727.819999999998,3774.3,22639.15,4294951815.6,42949672.17299999,70182.75,0.0,39217.55,42949672.09000002,13501.140000000003,13391.7,13424.4,69882.65,0.0,3649.6,0.0,0.0,0.0,102286904.8,583539362.0,986288966.55
Tue Mar 24 04:35:18 2020,7794.780000000001,3249.6,21392.15,4294956500.3,42949672.109000005,7778.9400000000005,3950.4,26414.8,4294954582.9,42949672.09650002,7731.06,3792.9,22798.05,4294951865.4,42949672.17349999,70629.85,0.0,38959.1,42949672.089000024,13504.559999999998,13396.5,13430.34,70695.1,0.0,3667.5,0.0,0.0,0.0,102288077.15,583539362.0,986289619.5
Tue Mar 24 04:36:18 2020,7806.540000000001,3287.4,21844.2,4294956699.1,42949672.10250001,7787.76,4043.4,27607.2,4294955303.25,42949672.07550001,7740.540000000001,3949.2,24159.5,4294951621.9,42949672.161999986,73635.8,0.0,38219.0,42949672.07550002,13520.76,13409.460000000001,13447.14,79326.25,0.0,3762.2,0.0,0.0,0.0,102289277.1,583539362.0,986290260.65
Tue Mar 24 04:37:18 2020,7810.620000000001,3356.4,22400.65,4294956977.55,42949672.09750001,7792.8,4070.1,28203.3,4294956212.35,42949672.065000005,7743.18,4030.2,25252.35,4294952461.55,42949672.14399999,75841.45,0.0,36226.6,42949672.060999975,13529.159999999998,13417.439999999999,13455.9,83642.35,0.0,3811.8,0.0,0.0,0.0,102290528.95,583539362.0,986290881.15
Tue Mar 24 04:38:20 2020,7813.828571428572,3348.285714285714,22379.666666666668,4294957014.7619047,42949672.097142875,7794.800000000002,4062.8571428571427,28128.333333333332,4294956125.1904764,42949672.06619048,7748.000000000002,4021.714285714286,25232.52380952381,4294952373.0,42949672.146190464,75764.28571428571,0.0,36167.0,42949672.05999998,13532.85714285714,13422.57142857143,13461.599999999999,84142.09523809524,0.0,3811.904761904762,0.0,0.0,0.0,102291822.57142857,583539362.0,986291499.7142857
Tue Mar 24 04:39:18 2020,7814.400000000001,3376.4210526315787,22711.63157894737,4294957098.5789475,42949672.091052644,7795.263157894737,4104.315789473684,28328.157894736843,4294955927.2105265,42949672.06947369,7746.821052631581,4030.1052631578946,25310.526315789473,4294952355.368421,42949672.14578946,76350.21052631579,0.0,36485.94736842105,42949672.0605263,13535.810526315787,13421.494736842105,13461.41052631579,85611.47368421052,0.0,3837.4736842105262,0.0,0.0,0.0,102293085.15789473,583539362.0,986292105.2631578
Tue Mar 24 04:40:18 2020,7818.299999999998,3392.7,22967.2,4294957389.75,42949672.08700001,7797.18,4143.6,28849.2,4294956227.3,42949672.061,7751.4,4046.1,25610.1,4294952540.9,42949672.13599999,77406.5,0.0,35759.7,42949672.05999998,13541.16,13427.279999999999,13467.299999999997,85265.55,0.0,3860.1,0.0,0.0,0.0,102294344.8,583539362.0,986292692.6
